title,tmdbId,genres,keywords,poster_url,top_cast,director
The City of Lost Children,902,"['Fantasy', 'Science Fiction', 'Adventure']","['clone', 'dream', 'island', 'eye', 'dystopia', 'aging', 'friendship', 'rescue', 'children', 'girl', 'childhood']",https://image.tmdb.org/t/p/w500//whwT3Q9JxbAYzEc3t7uYYcCbTMf.jpg,"['Ron Perlman', 'Dominique Pinon', 'Judith Vittet', 'Daniel Emilfork']",Jean-Pierre Jeunet
Shanghai Triad,37557,"['Drama', 'Crime']","['servant', 'cabaret', 'shanghai', 'diva', 'uncle', 'mistress', 'umbrella']",https://image.tmdb.org/t/p/w500//tzG1UxUSfPACREjgBrsPDRUvneH.jpg,"['Gong Li', 'Li Bao-Tian', 'Wang Xiaoxiao', 'Li Xuejian']",Zhang Yimou
Dangerous Minds,9909,"['Drama', 'Crime']","['rap music', 'karate', 'high school', 'naval officer', 'teacher', 'amusement park']",https://image.tmdb.org/t/p/w500//yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg,"['Michelle Pfeiffer', 'George Dzundza', 'Courtney B. Vance', 'Robin Bartlett']",John N. Smith
Twelve Monkeys,63,"['Science Fiction', 'Thriller', 'Mystery']","['schizophrenia', 'philadelphia', 'cassandra syndrom', 'stockholm syndrome', 'time travel', 'post-apocalyptic', 'dystopia', 'lethal virus', 'monkey', 'subterranean']",https://image.tmdb.org/t/p/w500//fCZnJSARoTbLefr9ThwWBSkJ7oR.jpg,"['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt', 'Christopher Plummer']",Terry Gilliam
Babe,9598,"['Fantasy', 'Drama', 'Comedy', 'Family']","['sheep', 'pig', 'affection', 'piglet', 'heroism', 'talking animal', 'separation', 'german shepherd', 'grandson', 'talking pig']",https://image.tmdb.org/t/p/w500//zKuQMtnbVTz9DsOnOJmlW71v4qH.jpg,"['Christine Cavanaugh', 'Miriam Margolyes', 'Danny Mann', 'Hugo Weaving']",Chris Noonan
Carrington,47018,"['History', 'Drama', 'Romance']","['england', 'painter', 'conscientious objector', 'independent film', 'soldier']",https://image.tmdb.org/t/p/w500//8NmeBTkC4UQa8XT2GGsBN2R8Bqo.jpg,"['Emma Thompson', 'Jonathan Pryce', 'Steven Waddington', 'Samuel West']",Christopher Hampton
Dead Man Walking,687,['Drama'],"['prison', 'rape', 'socially deprived family', 'penalty', 'death penalty', 'despair', 'death row', 'begnadigung', 'therapist', 'self-discovery', 'prison cell', 'court case', 'death sentence', 'doomed man', 'sentence', 'lethal injection', 'forgiveness', 'charity', 'mercy petition', 'rage and hate', 'unsociability', 'right and justice', 'court', 'electric chair', 'cowardliness']",https://image.tmdb.org/t/p/w500//wQmmJi5ypfHH2boXrQBmsep7qb2.jpg,"['Susan Sarandon', 'Sean Penn', 'Robert Prosky', 'Raymond J. Barry']",Tim Robbins
It Takes Two,33689,"['Comedy', 'Family', 'Romance']","['orphan', 'identical twin']",https://image.tmdb.org/t/p/w500//sdes5TrRbymELYLG85YIxmFb1OP.jpg,"['Kirstie Alley', 'Steve Guttenberg', 'Ashley Olsen', 'Mary-Kate Olsen']",Andy Tennant
Clueless,9603,"['Comedy', 'Drama', 'Romance']","['puberty', 'high school', 'make a match', 'spoiled child', 'gay interest', 'conflict', 'woman director']",https://image.tmdb.org/t/p/w500//71RW4lkES2Dt7vSLSXvekGYNskG.jpg,"['Alicia Silverstone', 'Stacey Dash', 'Brittany Murphy', 'Paul Rudd']",Amy Heckerling
"Cry, the Beloved Country",34615,['Drama'],['south africa'],https://image.tmdb.org/t/p/w500//kGPsBswFOCjiGzXq4OZwzEAAODa.jpg,"['James Earl Jones', 'Charles S. Dutton', 'Jack Robinson', 'Tsholofelo Wechoemang']",Darrell James Roodt
Richard III,31174,"['Drama', 'War']","['england', 'shakespeare', 'kidnapping', 'murder', 'king']",https://image.tmdb.org/t/p/w500//aN2BcIH6rvGbYiRQCS8lxOdeeVQ.jpg,"['Ian McKellen', 'Annette Bening', 'Jim Broadbent', 'Kristin Scott Thomas']",Richard Loncraine
Dead Presidents,11443,"['Action', 'Crime', 'Drama', 'History']","['money', 'loss of virginity', 'hiding in a dumpster', 'mercy killing', 'armored truck', 'crushed by a car']",https://image.tmdb.org/t/p/w500//eGfsSXizR11tTHVo0kuOOFPAxZt.jpg,"['Larenz Tate', 'Keith David', 'Chris Tucker', 'Freddy Rodríguez']",Albert Hughes
Restoration,35196,"['Drama', 'Romance']","['jealousy', 'medicine', 'fountain', 'court', 'wealth', 'spaniel', 'gloves']",https://image.tmdb.org/t/p/w500//z1YM3WFZnF2NwHT5IRGYUcvZBSl.jpg,"['Robert Downey Jr.', 'Meg Ryan', 'Sam Neill', 'David Thewlis']",Michael Hoffman
Mortal Kombat,9312,"['Action', 'Fantasy']","['martial arts', 'monster', 'island', 'gore', 'sorcerer', 'tournament', 'violence', 'based on video game', 'hand to hand combat']",https://image.tmdb.org/t/p/w500//fcK7tzSSXMYiMN8E9KlZJL1BYyp.jpg,"['Christopher Lambert', 'Robin Shou', 'Linden Ashby', 'Cary-Hiroyuki Tagawa']",Paul W.S. Anderson
To Die For,577,"['Fantasy', 'Drama', 'Comedy', 'Thriller']","['adultery', 'winter', 'obsession', 'television', 'new hampshire', 'narcissistic personality disorder']",https://image.tmdb.org/t/p/w500//aedhsShrlJVhLlwhtlmFJgR4Szs.jpg,"['Nicole Kidman', 'Matt Dillon', 'Joaquin Phoenix', 'Casey Affleck']",Gus Van Sant
How To Make An American Quilt,11861,"['Drama', 'Romance']","['wedding vows', 'marriage proposal', 'married couple', 'monogamy', 'advice', 'marriage', 'quilt', 'love', 'family holiday', 'extramarital affair', 'grandmother', 'woman director']",https://image.tmdb.org/t/p/w500//vwYRaERccwXWCYrTzeWRZRarJOo.jpg,"['Winona Ryder', 'Anne Bancroft', 'Ellen Burstyn', 'Kate Nelligan']",Jocelyn Moorhouse
Se7en,807,"['Crime', 'Mystery', 'Thriller']","['self-fulfilling prophecy', 'detective', 's.w.a.t.', 'drug dealer', 'evisceration', 'lust and impulsiveness', 'rage and hate', 'pride and vanity', 'immoderateness', 'insomnia', 'investigation', 'pension', 'police', 'serial killer']",https://image.tmdb.org/t/p/w500//69Sns8WoET6CfaYlIkHbla4l7nC.jpg,"['Brad Pitt', 'Morgan Freeman', 'Gwyneth Paltrow', 'John C. McGinley']",David Fincher
Pocahontas,10530,"['Adventure', 'Animation', 'Drama', 'Family']","['culture clash', 'settler', 'forbidden love', 'colony', 'musical', 'gold rush', 'princess', 'romance', 'native american', 'animation', 'virginia', 'star crossed lovers', 'reference to pizarro', 'jamestown virginia', 'pug dog', 'cross cultural relationship', 'musket', 'animate tree', 'indian chief', 'based on myths or folklore', '17th century', 'shamanism', 'songs', 'indians vs. settlers', 'animal sidekick', 'powhatan', 'land claim']",https://image.tmdb.org/t/p/w500//kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg,"['Irene Bedard', 'Mel Gibson', 'David Ogden Stiers', 'John Kassir']",Mike Gabriel
When Night Is Falling,8391,"['Drama', 'Romance']","['professor', 'lgbt', 'woman director']",https://image.tmdb.org/t/p/w500//f9edMkT6bLXVvZICn47ARnQ1Iu5.jpg,"['Pascale Bussières', 'Rachael Crawford', 'Henry Czerny', 'Don McKellar']",Patricia Rozema
The Usual Suspects,629,"['Drama', 'Crime', 'Thriller']","['law', 'relatives', 'theft', 'criminal', 'criminal mastermind', 'hungarian', 'sibling']",https://image.tmdb.org/t/p/w500//bUPmtQzrRhzqYySeiMpv7GurAfm.jpg,"['Stephen Baldwin', 'Gabriel Byrne', 'Chazz Palminteri', 'Kevin Pollak']",Bryan Singer
Mighty Aphrodite,11448,"['Comedy', 'Romance']","['prostitute', 'adoption', 'adoptive father', 'childlessness', 'looking for  birth parents', 'adoptive mother', 'independent film', 'illegal prostitution', 'child']",https://image.tmdb.org/t/p/w500//cm0oPKizOQlsXpGYvrHvpELfxdi.jpg,"['Woody Allen', 'Mira Sorvino', 'Helena Bonham Carter', 'F. Murray Abraham']",Woody Allen
Lamerica,49133,"['Drama', 'Foreign']",['independent film'],https://image.tmdb.org/t/p/w500//nnLpA4mqb3gvhNJQZ00cOyBmeq3.jpg,"['Enrico Lo Verso', 'Michele Placido', 'Piro Milkani', 'Carmelo Di Mazzarelli']",Gianni Amelio
The Big Green,26441,"['Action', 'Adventure', 'Comedy', 'Family']","['sport', 'kids and family', 'soccer', 'woman director']",https://image.tmdb.org/t/p/w500//nVHqIuBTcTLmAIrML7T704UwfNI.jpg,"['Steve Guttenberg', ""Olivia d'Abo"", 'Jay O. Sanders', 'John Terry']",Holly Goldberg Sloan
Georgia,97406,['Drama'],"['alcohol', 'artist', 'music', 'drug', 'band']",https://image.tmdb.org/t/p/w500//uXjfK404xo7SiVlFcAoRyaFqXR4.jpg,"['Jennifer Jason Leigh', 'Mare Winningham', 'Ted Levine', 'Max Perlich']",Ulu Grosbard
Home for the Holidays,9089,"['Comedy', 'Drama', 'Romance']","['baltimore', 'thanksgiving', 'family clan', 'family conflict', 'generations conflict', 'woman director']",https://image.tmdb.org/t/p/w500//a8MslR6deQQVe8JR542XDSwHiPB.jpg,"['Holly Hunter', 'Robert Downey Jr.', 'Anne Bancroft', 'Charles Durning']",Jodie Foster
The Postman,11010,"['Comedy', 'Drama', 'Romance']","['island', 'letter', 'postman', 'fisherman', 'poet']",https://image.tmdb.org/t/p/w500//cUaCpjVDefYShKyLmkcDsiPaBHn.jpg,"['Philippe Noiret', 'Massimo Troisi', 'Maria Grazia Cucinotta', 'Renato Scarpa']",Michael Radford
The Indian in the Cupboard,11359,"['Adventure', 'Family', 'Fantasy']","['cupboard', 'games', 'puppet', 'parallel world', 'toy comes to life']",https://image.tmdb.org/t/p/w500//ozQAmW85tTJu2dhRe3evzyY03Nb.jpg,"['Hal Scardino', 'Litefoot', 'Lindsay Crouse', 'Richard Jenkins']",Frank Oz
Eye for an Eye,17182,"['Drama', 'Thriller']","['rape', 'gun', 'self-defense', 'grieving parents']",https://image.tmdb.org/t/p/w500//y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg,"['Sally Field', 'Kiefer Sutherland', 'Ed Harris', ""Beverly D'Angelo""]",John Schlesinger
Mr. Holland's Opus,2054,"['Music', 'Drama', 'Family']","['composer', 'mentor', 'deaf-mute', 'musical', 'apprentice', 'private life', 'music', 'disabled']",https://image.tmdb.org/t/p/w500//kBmwWeSN3ajnYHZ3dSybEobxEPI.jpg,"['Richard Dreyfuss', 'Glenne Headly', 'Jay Thomas', 'Olympia Dukakis']",Stephen Herek
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,10607,['Comedy'],"['date', 'slang', 'hip-hop', 'cousin', 'parody', 'hood', 'gang', 'social satire', 'racism', 'gangster']",https://image.tmdb.org/t/p/w500//HZQBF7JDd2e9p4rPSbSHuWHaCC.jpg,"['Shawn Wayans', 'Marlon Wayans', 'Tracey Cherelle Jones', 'Chris Spencer']",Paris Barclay
Two If by Sea,19760,"['Comedy', 'Romance']","['island', 'painting', 'thief', 'seasickness']",https://image.tmdb.org/t/p/w500//xSfqAMYqrTtDeAjPtYo0S8nc5Zz.jpg,"['Sandra Bullock', 'Denis Leary', 'Yaphet Kotto', 'Stephen Dillane']",Bill Bennett
Bio-Dome,9536,['Comedy'],"['biotope', 'vegetarian', 'pollution']",https://image.tmdb.org/t/p/w500//pjSkGZAvksrbO6tGain8PJ3rfC7.jpg,"['Pauly Shore', 'Stephen Baldwin', 'Joey Lauren Adams', 'Teresa Hill']",Jason Bloom
Lawnmower Man 2: Beyond Cyberspace,11525,"['Action', 'Science Fiction']","['hacker', 'virtual reality', 'computer', 'sword fight']",https://image.tmdb.org/t/p/w500//nsKDpcdC62krEPlCKKjLSHuMwwu.jpg,"['Patrick Bergin', 'Matt Frewer', ""Austin O'Brien"", 'Ely Pouget']",Farhad Mann
French Twist,4482,"['Comedy', 'Romance']","['love triangle', 'southern france', 'estate agent', 'menage a trois', 'van', 'woman director']",https://image.tmdb.org/t/p/w500//xlLnHizshGBwMiNrnop2kg2nYzE.jpg,"['Victoria Abril', 'Josiane Balasko', 'Alain Chabat', 'Ticky Holgado']",Josiane Balasko
Friday,10634,['Comedy'],"['rap music', 'parent child relationship', 'rapper', 'job']",https://image.tmdb.org/t/p/w500//2lReF53F8trkC68piGSfk0JVwWU.jpg,"['Ice Cube', 'Chris Tucker', 'Nia Long', 'Tom Lister Jr.']",F. Gary Gray
From Dusk Till Dawn,755,"['Horror', 'Action', 'Thriller', 'Crime']","['dancing', 'brother brother relationship', 'sexual obsession', 'showdown', 'sheriff', 'eroticism', 'nudity', 'bank robber', 'vampire', 'holy water', 'siege', 'stripper', 'priest', 'explosion', 'extreme violence', 'bank robbery', 'preacher', 'hostage situation', 'crucifix', 'recreational vehicle', 'blood spurting', 'convenience store', 'female vampire', 'mexican american border', 'nightclub entertainer', 'boa constrictor']",https://image.tmdb.org/t/p/w500//sV3kIAmvJ9tPz4Lq5fuf9LLMxte.jpg,"['George Clooney', 'Quentin Tarantino', 'Harvey Keitel', 'Juliette Lewis']",Robert Rodriguez
Fair Game,11859,"['Action', 'Thriller', 'Romance']","['bomb', 'miami', 'sex', 'detective', 'handcuffs', 'based on novel', 'hostage', 'fbi', 'kidnapping', 'russian', 'kgb', 'chase', 'sadism', 'parking garage', 'pizza', 'police protection', 'psychopath', 'remake', 'car crash', 'conspiracy', 'on the run', 'fugitive', 'shootout', 'gunfight', 'sadist', 'foot chase', 'police detective', 'police station', 'car chase', 'held at gunpoint', 'fbi agent', 'double cross', 'cult film', 'computer hacker', 'machine gun', 'swat team', 'grenade launcher', 'underwater scene', 'rogue agent', 'woman lawyer', 'damsel in distress']",https://image.tmdb.org/t/p/w500//qcxsWOzBaF7MZNNThtRQWQ9Wrdk.jpg,"['William Baldwin', 'Cindy Crawford', 'Steven Berkoff', 'Christopher McDonald']",Andrew Sipes
Kicking and Screaming,28387,"['Comedy', 'Drama', 'Romance']",['college'],https://image.tmdb.org/t/p/w500//186brkmaBmopqcM0dPs71tj9BfM.jpg,"['Josh Hamilton', ""Olivia d'Abo"", 'Carlos Jacott', 'Eric Stoltz']",Noah Baumbach
Les Miserables,48750,"['Drama', 'History']","['paris', 'nun', 'boxer', 'lawyer', 'jewish']",https://image.tmdb.org/t/p/w500//ct1T56BbeE60CsoFhUB4Qmq8kkf.jpg,"['Jean-Paul Belmondo', 'Michel Boujenah', 'Alessandra Martines', 'Salomé Lelouch']",Claude Lelouch
Bed of Roses,20927,"['Drama', 'Romance']","['florist', 'family relationships']",https://image.tmdb.org/t/p/w500//nLRio5v1QHW0Dw4VLmMhC1FZEJc.jpg,"['Christian Slater', 'Mary Stuart Masterson', 'Pamela Adlon', 'Josh Brolin']",Michael Goldenberg
Screamers,9102,"['Horror', 'Science Fiction']","['man vs machine', 'alien planet', 'struggle for survival']",https://image.tmdb.org/t/p/w500//oDGJGbzBkNXhCZfZMR6gjtKkKkI.jpg,"['Peter Weller', 'Roy Dupuis', 'Jennifer Rubin', 'Andrew Lauer']",Christian Duguay
The Crossing Guard,27526,"['Drama', 'Thriller']","['loss of daughter', 'hit-and-run driving ', 'revenge', 'suspense', 'independent film', 'tragedy']",https://image.tmdb.org/t/p/w500//kogaCIIylHmWQo2gJrrdq8Br8b8.jpg,"['Jack Nicholson', 'David Morse', 'Anjelica Huston', 'Robin Wright']",Sean Penn
The Juror,9623,"['Drama', 'Thriller']","['jurors', 'blackmail', 'court case', 'son', 'trial', 'courtroom']",https://image.tmdb.org/t/p/w500//i1EXzLNc4c9Xd0xjCmGavb0Hz9k.jpg,"['Demi Moore', 'Alec Baldwin', 'Joseph Gordon-Levitt', 'Anne Heche']",Brian Gibson
The White Balloon,46785,"['Family', 'Drama']","['fish', 'money', 'celebration', 'goldfish']",https://image.tmdb.org/t/p/w500//u6jrlgZZx3zSFPDPTVOYpueljgH.jpg,"['Aida Mohammadkhani', 'Mohsen Kafili', 'Fereshteh Sadre Orafaiy', 'Anna Borkowska']",Jafar Panahi
Things to Do in Denver When You're Dead,400,"['Drama', 'Crime']","['father son relationship', 'bounty hunter', 'boat', 'way of life', 'coffin', 'denver', 'godmother', 'paranoia', 'hitman', 'friendship', 'psychopath', 'revenge', 'murder', 'independent film', 'mafia', 'diner', 'blood', 'gangster', 'violence', 'illegal prostitution', 'extramarital affair']",https://image.tmdb.org/t/p/w500//oPp6Gbrasox66WyMvPS0k8OakQf.jpg,"['Andy García', 'Christopher Lloyd', 'William Forsythe', 'Bill Nunn']",Gary Fleder
Antonia's Line,880,"['Drama', 'Comedy']","['suicide', 'underdog', 'free love', 'philosophy', 'rape', 'mentally disabled', 'loss of mother', 'village life', 'world war ii', 'feminism', 'indian summer ', 'family history', 'widow', 'peasant', 'village', 'mathematics', 'freedom', 'right and justice', 'single', 'homosexuality', 'mother daughter relationship', 'domestic violence', 'university', 'woman director']",https://image.tmdb.org/t/p/w500//nUCVi6bBIL7LGC61nYaCqikAhIA.jpg,"['Willeke van Ammelrooy', 'Els Dottermans', 'Dora van der Groen', 'Veerle van Overloop']",Marleen Gorris
Once Upon a Time... When We Were Colored,146599,"['Romance', 'Drama']","['racial segregation', 'family relationships', 'rural setting', 'african american']",https://image.tmdb.org/t/p/w500//45xucuNlia6vEPWYrYu2QlnwgpO.jpg,"['Al Freeman, Jr.', 'Phylicia Rashād', 'Paula Kelly', 'Salli Richardson-Whitfield']",Tim Reid
Angels and Insects,8447,"['Drama', 'Romance']","['class society', 'rich woman - poor man', 'scientist', 'naturalist', 'insect']",https://image.tmdb.org/t/p/w500//w1i5JdddoLuzSmnKo5ORDoKdMm2.jpg,"['Mark Rylance', 'Kristin Scott Thomas', 'Patsy Kensit', 'Jeremy Kemp']",Philip Haas
