,genres,keywords,tmdbId,poster_path,title,top_cast,cast_size,crew_size,director
27,"['Drama', 'Romance']","['captain', 'napoleonic wars', 'old flame', 'admiral']",17015,/si8911IezMvAnQFDvyg1nKzDlD.jpg,Persuasion,"['Amanda Root', 'Ciarán Hinds', 'Susan Fleetwood', 'Fiona Shaw']",26,22,Roger Michell
28,"['Fantasy', 'Science Fiction', 'Adventure']","['clone', 'dream', 'island', 'eye', 'dystopia', 'aging', 'friendship', 'rescue', 'children', 'girl', 'childhood']",902,/eVo6ewq4akfyJYy3GXkMsLNzEJc.jpg,The City of Lost Children,"['Ron Perlman', 'Dominique Pinon', 'Judith Vittet', 'Daniel Emilfork']",37,21,Jean-Pierre Jeunet
29,"['Drama', 'Crime']","['servant', 'cabaret', 'shanghai', 'diva', 'uncle', 'mistress', 'umbrella']",37557,/qcoOCoN7viOhboGwhYXyApdDuiq.jpg,Shanghai Triad,"['Gong Li', 'Li Bao-Tian', 'Wang Xiaoxiao', 'Li Xuejian']",6,4,Zhang Yimou
30,"['Drama', 'Crime']","['rap music', 'karate', 'high school', 'naval officer', 'teacher', 'amusement park']",9909,/y5Jee3QmYOlpqfaPPbfvtdVc5wj.jpg,Dangerous Minds,"['Michelle Pfeiffer', 'George Dzundza', 'Courtney B. Vance', 'Robin Bartlett']",15,26,John N. Smith
31,"['Science Fiction', 'Thriller', 'Mystery']","['schizophrenia', 'philadelphia', 'cassandra syndrom', 'stockholm syndrome', 'time travel', 'post-apocalyptic', 'dystopia', 'lethal virus', 'monkey', 'subterranean']",63,/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg,Twelve Monkeys,"['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt', 'Christopher Plummer']",65,151,Terry Gilliam
32,"['Fantasy', 'Drama', 'Comedy', 'Family']","['sheep', 'pig', 'affection', 'piglet', 'heroism', 'talking animal', 'separation', 'german shepherd', 'grandson', 'talking pig']",9598,/gN6X3fwPya8pLffk9OEWV3DqBnE.jpg,Babe,"['Christine Cavanaugh', 'Miriam Margolyes', 'Danny Mann', 'Hugo Weaving']",18,11,Chris Noonan
33,"['History', 'Drama', 'Romance']","['england', 'painter', 'conscientious objector', 'independent film', 'soldier']",47018,/a7w6rPdTBgWAx6lnhwHemPx9pEw.jpg,Carrington,"['Emma Thompson', 'Jonathan Pryce', 'Steven Waddington', 'Samuel West']",12,30,Christopher Hampton
34,['Drama'],"['prison', 'rape', 'socially deprived family', 'penalty', 'death penalty', 'despair', 'death row', 'begnadigung', 'therapist', 'self-discovery', 'prison cell', 'court case', 'death sentence', 'doomed man', 'sentence', 'lethal injection', 'forgiveness', 'charity', 'mercy petition', 'rage and hate', 'unsociability', 'right and justice', 'court', 'electric chair', 'cowardliness']",687,/y19uRkAHXOHLeySuBVMqnvVnsrA.jpg,Dead Man Walking,"['Susan Sarandon', 'Sean Penn', 'Robert Prosky', 'Raymond J. Barry']",42,95,Tim Robbins
35,"['Adventure', 'History', 'Drama', 'Family']",[],139405,/lKOAyy098yjoot8cutYsStVO1WS.jpg,Across the Sea of Time,"['Peter Reznick', 'John McDonough', 'Avi Hoffman', 'Matt Malloy']",5,11,Stephen Low
36,"['Comedy', 'Family', 'Romance']","['orphan', 'identical twin']",33689,/l67WJL3Mjce1yoEgL4HheR5v75D.jpg,It Takes Two,"['Kirstie Alley', 'Steve Guttenberg', 'Ashley Olsen', 'Mary-Kate Olsen']",13,2,Andy Tennant
37,"['Comedy', 'Drama', 'Romance']","['puberty', 'high school', 'make a match', 'spoiled child', 'gay interest', 'conflict', 'woman director']",9603,/i8gEHh2sszB6YWLC0jl559sxAeN.jpg,Clueless,"['Alicia Silverstone', 'Stacey Dash', 'Brittany Murphy', 'Paul Rudd']",14,11,Amy Heckerling
38,['Drama'],['south africa'],34615,/ymA7HQqRiyo1xrnFFv1ZrwNpwlb.jpg,"Cry, the Beloved Country","['James Earl Jones', 'Charles S. Dutton', 'Jack Robinson', 'Tsholofelo Wechoemang']",10,4,Darrell James Roodt
39,"['Drama', 'War']","['england', 'shakespeare', 'kidnapping', 'murder', 'king']",31174,/e8nuS9GQoSFaqld4hW5erk2ccag.jpg,Richard III,"['Ian McKellen', 'Annette Bening', 'Jim Broadbent', 'Kristin Scott Thomas']",18,4,Richard Loncraine
40,"['Action', 'Crime', 'Drama', 'History']","['money', 'loss of virginity', 'hiding in a dumpster', 'mercy killing', 'armored truck', 'crushed by a car']",11443,/2dLyvXVvJXUR9otoqERkYpao1bB.jpg,Dead Presidents,"['Larenz Tate', 'Keith David', 'Chris Tucker', 'Freddy Rodríguez']",13,9,Albert Hughes
41,"['Drama', 'Romance']","['jealousy', 'medicine', 'fountain', 'court', 'wealth', 'spaniel', 'gloves']",35196,/aqQdEQ1ZVdzrREJxCoPzTlLgHVw.jpg,Restoration,"['Robert Downey Jr.', 'Meg Ryan', 'Sam Neill', 'David Thewlis']",10,6,Michael Hoffman
42,"['Action', 'Fantasy']","['martial arts', 'monster', 'island', 'gore', 'sorcerer', 'tournament', 'violence', 'based on video game', 'hand to hand combat']",9312,/bdXWixjWVA7Y03PvW74xufrROiJ.jpg,Mortal Kombat,"['Christopher Lambert', 'Robin Shou', 'Linden Ashby', 'Cary-Hiroyuki Tagawa']",11,15,Paul W.S. Anderson
43,"['Fantasy', 'Drama', 'Comedy', 'Thriller']","['adultery', 'winter', 'obsession', 'television', 'new hampshire', 'narcissistic personality disorder']",577,/zCREx8trzejNieDLUsRuwLU0cS3.jpg,To Die For,"['Nicole Kidman', 'Matt Dillon', 'Joaquin Phoenix', 'Casey Affleck']",14,16,Gus Van Sant
44,"['Drama', 'Romance']","['wedding vows', 'marriage proposal', 'married couple', 'monogamy', 'advice', 'marriage', 'quilt', 'love', 'family holiday', 'extramarital affair', 'grandmother', 'woman director']",11861,/wnWAZHbjX5Wj6hyb0gGmFdMADZk.jpg,How To Make An American Quilt,"['Winona Ryder', 'Anne Bancroft', 'Ellen Burstyn', 'Kate Nelligan']",34,18,Jocelyn Moorhouse
45,"['Crime', 'Mystery', 'Thriller']","['self-fulfilling prophecy', 'detective', 's.w.a.t.', 'drug dealer', 'evisceration', 'lust and impulsiveness', 'rage and hate', 'pride and vanity', 'immoderateness', 'insomnia', 'investigation', 'pension', 'police', 'serial killer']",807,/8zw8IL4zEPjkh8Aysdcd0FwGMb0.jpg,Se7en,"['Brad Pitt', 'Morgan Freeman', 'Gwyneth Paltrow', 'John C. McGinley']",49,91,David Fincher
46,"['Adventure', 'Animation', 'Drama', 'Family']","['culture clash', 'settler', 'forbidden love', 'colony', 'musical', 'gold rush', 'princess', 'romance', 'native american', 'animation', 'virginia', 'star crossed lovers', 'reference to pizarro', 'jamestown virginia', 'pug dog', 'cross cultural relationship', 'musket', 'animate tree', 'indian chief', 'based on myths or folklore', '17th century', 'shamanism', 'songs', 'indians vs. settlers', 'animal sidekick', 'powhatan', 'land claim']",10530,/qk95miOV8wDABbO5gyCpCrvbVFu.jpg,Pocahontas,"['Irene Bedard', 'Mel Gibson', 'David Ogden Stiers', 'John Kassir']",16,31,Mike Gabriel
47,"['Drama', 'Romance']","['professor', 'lgbt', 'woman director']",8391,/wnUuYc9XnWrTTAGz8YjjULA3Zmr.jpg,When Night Is Falling,"['Pascale Bussières', 'Rachael Crawford', 'Henry Czerny', 'Don McKellar']",4,8,Patricia Rozema
48,"['Drama', 'Crime', 'Thriller']","['law', 'relatives', 'theft', 'criminal', 'criminal mastermind', 'hungarian', 'sibling']",629,/jgJoRWltoS17nD5MAQ1yK2Ztefw.jpg,The Usual Suspects,"['Stephen Baldwin', 'Gabriel Byrne', 'Chazz Palminteri', 'Kevin Pollak']",18,64,Bryan Singer
49,"['Comedy', 'Romance']","['prostitute', 'adoption', 'adoptive father', 'childlessness', 'looking for  birth parents', 'adoptive mother', 'independent film', 'illegal prostitution', 'child']",11448,/2NcPyb9vPehZ0aOjYayDAW1XeVy.jpg,Mighty Aphrodite,"['Woody Allen', 'Mira Sorvino', 'Helena Bonham Carter', 'F. Murray Abraham']",12,30,Woody Allen
50,"['Drama', 'Foreign']",['independent film'],49133,/407nYlg60AOj95lqDZ4tvUTTm1k.jpg,Lamerica,"['Enrico Lo Verso', 'Michele Placido', 'Piro Milkani', 'Carmelo Di Mazzarelli']",5,4,Gianni Amelio
51,"['Action', 'Adventure', 'Comedy', 'Family']","['sport', 'kids and family', 'soccer', 'woman director']",26441,/erWfSEcjO4LG69Tlm2mED5JMSqH.jpg,The Big Green,"['Steve Guttenberg', ""Olivia d'Abo"", 'Jay O. Sanders', 'John Terry']",13,2,Holly Goldberg Sloan
52,['Drama'],"['alcohol', 'artist', 'music', 'drug', 'band']",97406,/5OTTRuKfiso75xofN8Vl5mRXOQP.jpg,Georgia,"['Jennifer Jason Leigh', 'Mare Winningham', 'Ted Levine', 'Max Perlich']",8,2,Ulu Grosbard
53,"['Comedy', 'Drama', 'Romance']","['baltimore', 'thanksgiving', 'family clan', 'family conflict', 'generations conflict', 'woman director']",9089,/97EKLaslQ4gzkvALtqGCDOmsGHk.jpg,Home for the Holidays,"['Holly Hunter', 'Robert Downey Jr.', 'Anne Bancroft', 'Charles Durning']",10,17,Jodie Foster
54,"['Comedy', 'Drama', 'Romance']","['island', 'letter', 'postman', 'fisherman', 'poet']",11010,/qkq2JfINRQi4Iu9VTMMtQFfmGWZ.jpg,The Postman,"['Philippe Noiret', 'Massimo Troisi', 'Maria Grazia Cucinotta', 'Renato Scarpa']",14,10,Michael Radford
55,"['Thriller', 'Drama', 'Mystery']",[],99040,/8RCRrSAY8e3Qn5p9cNv188ogmZQ.jpg,The Confessional,"['Lothaire Bluteau', 'Patrick Goyette', 'Jean-Louis Millette', 'Kristin Scott Thomas']",5,2,Robert Lepage
56,"['Adventure', 'Family', 'Fantasy']","['cupboard', 'games', 'puppet', 'parallel world', 'toy comes to life']",11359,/l16BtfILyWxYwSqzofL3V1rMSwe.jpg,The Indian in the Cupboard,"['Hal Scardino', 'Litefoot', 'Lindsay Crouse', 'Richard Jenkins']",10,10,Frank Oz
57,"['Drama', 'Thriller']","['rape', 'gun', 'self-defense', 'grieving parents']",17182,/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg,Eye for an Eye,"['Sally Field', 'Kiefer Sutherland', 'Ed Harris', ""Beverly D'Angelo""]",17,28,John Schlesinger
58,"['Music', 'Drama', 'Family']","['composer', 'mentor', 'deaf-mute', 'musical', 'apprentice', 'private life', 'music', 'disabled']",2054,/jYEKdpVvRV3KdyHMUVYyg0KTVSY.jpg,Mr. Holland's Opus,"['Richard Dreyfuss', 'Glenne Headly', 'Jay Thomas', 'Olympia Dukakis']",16,57,Stephen Herek
59,['Comedy'],"['date', 'slang', 'hip-hop', 'cousin', 'parody', 'hood', 'gang', 'social satire', 'racism', 'gangster']",10607,/l6D9f9WbxdI4tyCmJGs56y8tQla.jpg,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"['Shawn Wayans', 'Marlon Wayans', 'Tracey Cherelle Jones', 'Chris Spencer']",14,12,Paris Barclay
60,"['Comedy', 'Romance']","['island', 'painting', 'thief', 'seasickness']",19760,/e0iwJJiLjk8Z6A9TuL3neX504H3.jpg,Two If by Sea,"['Sandra Bullock', 'Denis Leary', 'Yaphet Kotto', 'Stephen Dillane']",12,3,Bill Bennett
61,['Comedy'],"['biotope', 'vegetarian', 'pollution']",9536,/1bAUaipv3gDU1pATGwziyq1VTwZ.jpg,Bio-Dome,"['Pauly Shore', 'Stephen Baldwin', 'Joey Lauren Adams', 'Teresa Hill']",12,9,Jason Bloom
62,"['Action', 'Science Fiction']","['hacker', 'virtual reality', 'computer', 'sword fight']",11525,/i0hBsWBLw64XRehFzCL44PaCs1y.jpg,Lawnmower Man 2: Beyond Cyberspace,"['Patrick Bergin', 'Matt Frewer', ""Austin O'Brien"", 'Ely Pouget']",15,13,Farhad Mann
63,"['Comedy', 'Romance']","['love triangle', 'southern france', 'estate agent', 'menage a trois', 'van', 'woman director']",4482,/dDB8mMKRL28gHsRcGPoMQYrzaXg.jpg,French Twist,"['Victoria Abril', 'Josiane Balasko', 'Alain Chabat', 'Ticky Holgado']",8,8,Josiane Balasko
64,['Comedy'],"['rap music', 'parent child relationship', 'rapper', 'job']",10634,/kkoGT4bnK5oGiNbzGGcXzrXMSxn.jpg,Friday,"['Ice Cube', 'Chris Tucker', 'Nia Long', 'Tom Lister Jr.']",18,5,F. Gary Gray
65,"['Horror', 'Action', 'Thriller', 'Crime']","['dancing', 'brother brother relationship', 'sexual obsession', 'showdown', 'sheriff', 'eroticism', 'nudity', 'bank robber', 'vampire', 'holy water', 'siege', 'stripper', 'priest', 'explosion', 'extreme violence', 'bank robbery', 'preacher', 'hostage situation', 'crucifix', 'recreational vehicle', 'blood spurting', 'convenience store', 'female vampire', 'mexican american border', 'nightclub entertainer', 'boa constrictor']",755,/ce0d4kM5KxT4x1Oq8JkSuNYevri.jpg,From Dusk Till Dawn,"['George Clooney', 'Quentin Tarantino', 'Harvey Keitel', 'Juliette Lewis']",33,117,Robert Rodriguez
66,"['Action', 'Thriller', 'Romance']","['bomb', 'miami', 'sex', 'detective', 'handcuffs', 'based on novel', 'hostage', 'fbi', 'kidnapping', 'russian', 'kgb', 'chase', 'sadism', 'parking garage', 'pizza', 'police protection', 'psychopath', 'remake', 'car crash', 'conspiracy', 'on the run', 'fugitive', 'shootout', 'gunfight', 'sadist', 'foot chase', 'police detective', 'police station', 'car chase', 'held at gunpoint', 'fbi agent', 'double cross', 'cult film', 'computer hacker', 'machine gun', 'swat team', 'grenade launcher', 'underwater scene', 'rogue agent', 'woman lawyer', 'damsel in distress']",11859,/ew0LrIN5fpxdimrErEy9Yry3Nn2.jpg,Fair Game,"['William Baldwin', 'Cindy Crawford', 'Steven Berkoff', 'Christopher McDonald']",18,14,Andrew Sipes
67,"['Comedy', 'Drama', 'Romance']",['college'],28387,/urPxxjylNUHmoNcGkMgHStMTxhF.jpg,Kicking and Screaming,"['Josh Hamilton', ""Olivia d'Abo"", 'Carlos Jacott', 'Eric Stoltz']",21,4,Noah Baumbach
68,"['Drama', 'History']","['paris', 'nun', 'boxer', 'lawyer', 'jewish']",48750,/ePJCk8puXx28CtvpSpmezpwfVt8.jpg,Les Miserables,"['Jean-Paul Belmondo', 'Michel Boujenah', 'Alessandra Martines', 'Salomé Lelouch']",16,3,Claude Lelouch
69,"['Drama', 'Romance']","['florist', 'family relationships']",20927,/kTEpzjzyeYER1WuCm7Seul4Fatc.jpg,Bed of Roses,"['Christian Slater', 'Mary Stuart Masterson', 'Pamela Adlon', 'Josh Brolin']",35,181,Michael Goldenberg
70,"['Horror', 'Science Fiction']","['man vs machine', 'alien planet', 'struggle for survival']",9102,/aFEs7D7IQ2IehTsniRIojDkiDl6.jpg,Screamers,"['Peter Weller', 'Roy Dupuis', 'Jennifer Rubin', 'Andrew Lauer']",9,35,Christian Duguay
71,['Documentary'],[],124626,/tuIDKBp92R4tGFOB46MofvakfiY.jpg,Nico Icon,"['Nico', 'Tina Aumont', 'Jackson Browne', 'John Cale']",7,6,Susanne Ofteringer
72,"['Drama', 'Thriller']","['loss of daughter', 'hit-and-run driving ', 'revenge', 'suspense', 'independent film', 'tragedy']",27526,/mMXL84GqES2HYpJ0Zt18I7m6mfU.jpg,The Crossing Guard,"['Jack Nicholson', 'David Morse', 'Anjelica Huston', 'Robin Wright']",29,11,Sean Penn
73,"['Drama', 'Thriller']","['jurors', 'blackmail', 'court case', 'son', 'trial', 'courtroom']",9623,/7aXOB0DyZPxNOYbaQ2oiNn64jm3.jpg,The Juror,"['Demi Moore', 'Alec Baldwin', 'Joseph Gordon-Levitt', 'Anne Heche']",15,10,Brian Gibson
74,"['Family', 'Drama']","['fish', 'money', 'celebration', 'goldfish']",46785,/96UDOJNgJXHmQMJqA79bKS9PR8i.jpg,The White Balloon,"['Aida Mohammadkhani', 'Mohsen Kafili', 'Fereshteh Sadre Orafaiy', 'Anna Borkowska']",5,2,Jafar Panahi
75,"['Drama', 'Crime']","['father son relationship', 'bounty hunter', 'boat', 'way of life', 'coffin', 'denver', 'godmother', 'paranoia', 'hitman', 'friendship', 'psychopath', 'revenge', 'murder', 'independent film', 'mafia', 'diner', 'blood', 'gangster', 'violence', 'illegal prostitution', 'extramarital affair']",400,/ysKIolKO0376Nl5DV1fDAAPudEq.jpg,Things to Do in Denver When You're Dead,"['Andy García', 'Christopher Lloyd', 'William Forsythe', 'Bill Nunn']",14,8,Gary Fleder
76,"['Drama', 'Comedy']","['suicide', 'underdog', 'free love', 'philosophy', 'rape', 'mentally disabled', 'loss of mother', 'village life', 'world war ii', 'feminism', 'indian summer ', 'family history', 'widow', 'peasant', 'village', 'mathematics', 'freedom', 'right and justice', 'single', 'homosexuality', 'mother daughter relationship', 'domestic violence', 'university', 'woman director']",880,/bIQp2SJrVXiQttv9hXeqliQox0K.jpg,Antonia's Line,"['Willeke van Ammelrooy', 'Els Dottermans', 'Dora van der Groen', 'Veerle van Overloop']",14,9,Marleen Gorris
77,"['Romance', 'Drama']","['racial segregation', 'family relationships', 'rural setting', 'african american']",146599,/tsJSlkFSZPQhhVuKrYJXNClYaPD.jpg,Once Upon a Time... When We Were Colored,"['Al Freeman, Jr.', 'Phylicia Rashād', 'Paula Kelly', 'Salli Richardson-Whitfield']",11,3,Tim Reid
78,[],[],188588,/pfgpkDNcwSi1x4jVzeLqvxTwX5a.jpg,Last Summer in the Hamptons,"['Victoria Foyt', 'Viveca Lindfors', 'Jon Robin Baitz', 'Savannah Smith Boucher']",16,1,Henry Jaglom
79,"['Drama', 'Romance']","['class society', 'rich woman - poor man', 'scientist', 'naturalist', 'insect']",8447,/1QyCF6IFoX5WJIYHOkmLa3vzU0r.jpg,Angels and Insects,"['Mark Rylance', 'Kristin Scott Thomas', 'Patsy Kensit', 'Jeremy Kemp']",8,28,Philip Haas
80,"['Action', 'Drama']","['sailing trip', 'diary', 'sailing', 'survival', 'coming of age', 'teenage boy', 'discipline', 'squall', 'sail', 'ship captain', 'caribbean', 'male bonding', 'seasickness', 'storm at sea', '1960s']",10534,/3a5nomeyzJF4gG26HouCtce99ki.jpg,White Squall,"['Jeff Bridges', 'Caroline Goodall', 'John Savage', 'Scott Wolf']",15,10,Ridley Scott
